region,location,street_address,num_of_rooms,size,fee,final_price,initial_price
Stockholmskommun,Älvsjö,Trumslagargatan 22,1.5,28.0,1859,1950000,3696078
Stockholmskommun,HammarbySjöstad,Hammarby allé 127,2,42.0,2536,3400000,2982456
Stockholmskommun,Bredäng,Odd fellowvägen 38,2,64.7,3716,3600000,3600000
Nackakommun,Skogalundsklippan,"Skogalundsklippan 22, 1tr",4,86.5,5687,3800000,3486238
Solnakommun,Frösunda,"Gustav III:s Boulevard 167, 3 tr",4,108.0,4954,6500000,6250000
Solnakommun,Järvastaden,Fridensborgsvägen 27,2,62.0,3429,3650000,3379629
Nackakommun,Tollare,"Tollare torg 4, 2 / 2 tr",4,93.0,4520,6000000,5714285
Stockholmskommun,Sätra,"Kungssätravägen 18, vån 4 av 7",2,41.0,2683,2070000,1990384
Stockholmskommun,Kungsholmen,Love almqvists väg 4A - Accepterat pris,2,37.5,3060,3200000,3200000
Sundbybergskommun,Rissne,Kavallerivägen 2B,2,55.0,2979,2830000,2504424
Stockholmskommun,Vasastan,Regeringsgatan 76,2,46.0,1156,5060000,4477876
Stockholmskommun,Kungsholmen,Pontonjärgatan 45A,2,36.0,2176,3800000,3392857
Solnakommun,SolnaCentrum,"Klippgatan 12C, vån 5",2,59.5,2584,3400000,3300970
Stockholmskommun,Södermalm,"Folkungagatan 85 / Nytorgsgatan, 3 tr",3,87.0,3236,11410000,9276422
Stockholmskommun,Södermalm,"Åsögatan 190, vån 5",1,31.0,1543,3950000,3291666
Stockholmskommun,Högdalen,Skebokvarnsvägen 245,4,85.0,4991,3050000,2990196
Nackakommun,Älta,Finserudsgränd 3D,3,59.0,3681,3000000,2803738
Sundbybergskommun,Brotorp,Brogatan 6,3,79.5,4306,4500000,4205607
Stockholmskommun,Kista,Kista alléväg 33,2,52.0,2429,2450000,2401960
Solnakommun,Råsunda,Hasselstigen 8,2,55.0,2485,4050000,3681818
Stockholmskommun,Kungsholmen,Bergsgatan 55,2.5,67.0,2443,7100000,6960784
Stockholmskommun,Akalla,"Sibeliusgången 38, 7 tr",3.5,80.9,4857,2200000,1999999
Stockholmskommun,HammarbySjöstad,"Korphoppsgatan 33, plan 5 & 6 (Högst upp)",6,150.0,9312,15000000,13043478
Solnakommun,Råsunda,"Bollgatan 5, 4tr",4,99.0,1794,8200000,7522935
Stockholmskommun,Telefonplan,"Mejselvägen 46, vån 3 av 3",1.5,32.0,3281,2250000,2250000
Stockholmskommun,HammarbySjöstad,Sickla Kanalgata 77,3,74.0,5159,5025000,4975247
Sundbybergskommun,Storskogen,Vintergatan 6,2,38.0,2719,2650000,2304347
Stockholmskommun,Åkeshov,Snörmakarvägen 35A,2,56.0,2842,3700000,2304347
Sollentunakommun,Kärrdal,Lomvägen 657,3,83.0,4546,2165000,2143564
Stockholmskommun,Södermalm,"Slipgatan 14, 3tr, 2:a med balkong!",2,35.0,2440,3600000,3600000
Solnakommun,HagaNorra,Hagavägen 10,3,99.0,4220,6500000,6018518
Stockholmskommun,StoraEssingen,Segelbåtsvägen 14,4,104.5,6230,8250000,8009708
Stockholmskommun,Kungsholmen,"Pontonjärgatan 34, 3tr",2,61.0,2717,6300000,5675675
Stockholmskommun,Kungsholmen,"Grubbensringen 21, Etagelägenhet",3,103.0,7140,11500000,9829059
Stockholmskommun,Akalla,"Sveaborgsgatan 6, 4 tr",4,87.2,5240,2400000,2307692
Solnakommun,Järvastaden,"Järva Skjutbaneväg 39, 2 tr",2,53.0,3083,3250000,2981651
Stockholmskommun,Gärdet,"Värtavägen 31, 2 tr",3,86.0,4768,9600000,8888888
Stockholmskommun,HammarbySjöstad,Heliosgatan 16A,3,77.0,4069,6600000,6470588
Stockholmskommun,Älvsjöbadet,Lillhagsvägen 24,3,69.0,5003,2700000,2093023
Sollentunakommun,Edsberg,Viltstigen 8,2,54.5,3909,2550000,2339449
Stockholmskommun,Spånga,Skäftingebacken 22 vån 6 / 6,4,94.0,6585,2400000,2285714
Stockholmskommun,Spånga,Stadingeplan 7,4,109.0,6535,2200000,2095238
