region,location,street_address,num_of_rooms,size,fee,price
Kungsängen - Industristaden,Kungsängen,"
        Industrigatan 31
      ",4,94.0,4039,4195000
Luthagen,Luthagen,"
        Tegnérgatan 5A
      ",3,71.0,4482,3150000
Gottsunda,Gottsunda,"
        Valthornsvägen 18
      ",1,40.0,2659,995000
Gottsunda,Gottsunda,"
        Altfiolsvägen 20
      ",3,94.5,5135,1595000
Svartbäcken,Svartbäcken,"
        Swedenborgsgatan 32A
      ",2,46.0,3058,2050000
Höganäs,Höganäs,"
        S:T Persgatan 45A
      ",1,42.0,3182,1995000
Luthagen,Luthagen,"
        Bredmansgatan 4D
      ",1,18.5,984,1575000
Årsta,Årsta,"
        Kamomillgatan 29
      ",2,63.0,3775,1795000
Salabacke,Salabacke,"
        Apelgatan 9 A
      ",2,61.0,3277,1850000
Salabacke,Salabacke,"
        Verkmästargatan 5A
      ",2,58.5,3158,1695000
Gottsunda,Gottsunda,"
        Altfiolsvägen 20
      ",3,101.0,5504,1795000
Höganäs,Höganäs,"
        Botvidsgatan 6 A
      ",1,40.0,2531,1850000
Fullerö Hage,FulleröHage,"
        Snömolnsvägen
      ",5,113.0,4396,4195000
Gränby,Gränby,"
        Råbyvägen 53E
      ",2.5,65.0,3892,1995000
Rickomberga,Rickomberga,"
        Gösta wahlströms väg 20
      ",2,43.0,2358,2095000
